Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.96875000,,Zero Index,4999.96875000,,Zero Index,4999.96875000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99998750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.99958750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99918750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99878750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99838750e-04,5.27800000e+00,3.95000000e+00,-8.70000000e-02
-1.99798750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99758750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99718750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99678750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99638750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.99598750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.99558750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.99518750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.99478750e-04,5.25800000e+00,3.95000000e+00,-1.07000000e-01
-1.99438750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99398750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99358750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99318750e-04,5.27800000e+00,3.95000000e+00,-8.70000000e-02
-1.99278750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.99238750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99198750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99158750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99118750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99078750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.99038750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98998750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98958750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98918750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98878750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98838750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.98798750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98758750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98718750e-04,5.23800000e+00,3.97000000e+00,-8.70000000e-02
-1.98678750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98638750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.98598750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98558750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98518750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98478750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.98438750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98398750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98358750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98318750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98278750e-04,5.25800000e+00,3.99000000e+00,-8.70000000e-02
-1.98238750e-04,5.23800000e+00,3.97000000e+00,-8.70000000e-02
-1.98198750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98158750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98118750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98078750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.98038750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97998750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97958750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97918750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97878750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97838750e-04,5.27800000e+00,3.97000000e+00,-8.70000000e-02
-1.97798750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.97758750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97718750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97678750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.97638750e-04,5.25800000e+00,3.97000000e+00,-1.07000000e-01
-1.97598750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97558750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97518750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97478750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
-1.97438750e-04,5.25800000e+00,3.95000000e+00,-8.70000000e-02
-1.97398750e-04,5.25800000e+00,3.97000000e+00,-8.70000000e-02
