Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.37500000,,Zero Index,4999.37500000,,Zero Index,4999.37500000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99975000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99935000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99895000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99855000e-04,5.29800000e+00,3.85000000e+00,-1.07000000e-01
-1.99815000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99775000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99735000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99695000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99655000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99615000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99575000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99535000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99495000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99455000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99415000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99375000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99335000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99295000e-04,5.27800000e+00,3.87000000e+00,-8.70000000e-02
-1.99255000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99215000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.99175000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.99135000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99095000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99055000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.99015000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98975000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98935000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98895000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98855000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98815000e-04,5.31800000e+00,3.85000000e+00,-8.70000000e-02
-1.98775000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98735000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98695000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98655000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98615000e-04,5.27800000e+00,3.87000000e+00,-8.70000000e-02
-1.98575000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98535000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98495000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98455000e-04,5.29800000e+00,3.87000000e+00,-1.07000000e-01
-1.98415000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98375000e-04,5.29800000e+00,3.87000000e+00,-8.70000000e-02
-1.98335000e-04,5.27800000e+00,3.87000000e+00,-8.70000000e-02
-1.98295000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98255000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98215000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98175000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.98135000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98095000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98055000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.98015000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.97975000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.97935000e-04,5.29800000e+00,3.85000000e+00,-1.07000000e-01
-1.97895000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.97855000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
-1.97815000e-04,5.27800000e+00,3.85000000e+00,-8.70000000e-02
-1.97775000e-04,5.29800000e+00,3.85000000e+00,-8.70000000e-02
