Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.84375000,,Zero Index,4999.84375000,,Zero Index,4999.84375000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99993750e-04,5.27800000e+00,3.51000000e+00,-8.70000000e-02
-1.99953750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99913750e-04,5.27800000e+00,3.51000000e+00,-8.70000000e-02
-1.99873750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99833750e-04,5.27800000e+00,3.53000000e+00,-8.70000000e-02
-1.99793750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99753750e-04,5.29800000e+00,3.53000000e+00,-1.07000000e-01
-1.99713750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99673750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99633750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99593750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99553750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99513750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99473750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99433750e-04,5.31800000e+00,3.51000000e+00,-8.70000000e-02
-1.99393750e-04,5.27800000e+00,3.53000000e+00,-8.70000000e-02
-1.99353750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99313750e-04,5.27800000e+00,3.53000000e+00,-6.70000000e-02
-1.99273750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99233750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99193750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99153750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.99113750e-04,5.27800000e+00,3.51000000e+00,-8.70000000e-02
-1.99073750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.99033750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.98993750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.98953750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.98913750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.98873750e-04,5.29800000e+00,3.51000000e+00,-1.07000000e-01
-1.98833750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.98793750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
-1.98753750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.98713750e-04,5.29800000e+00,3.53000000e+00,-8.70000000e-02
-1.98673750e-04,5.29800000e+00,3.51000000e+00,-8.70000000e-02
