Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.21875000,,Zero Index,4999.21875000,,Zero Index,4999.21875000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99968750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.99928750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.99888750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99848750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.99808750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.99768750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99728750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99688750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99648750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99608750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.99568750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99528750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99488750e-04,5.27800000e+00,3.99000000e+00,-8.70000000e-02
-1.99448750e-04,5.27800000e+00,3.99000000e+00,-8.70000000e-02
-1.99408750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99368750e-04,5.27800000e+00,4.01000000e+00,-6.70000000e-02
-1.99328750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99288750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99248750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99208750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99168750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99128750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99088750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99048750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.99008750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98968750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98928750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98888750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98848750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98808750e-04,5.31800000e+00,4.01000000e+00,-8.70000000e-02
-1.98768750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98728750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98688750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98648750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.98608750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98568750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98528750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98488750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98448750e-04,5.31800000e+00,3.99000000e+00,-8.70000000e-02
-1.98408750e-04,5.31800000e+00,4.01000000e+00,-8.70000000e-02
-1.98368750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98328750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98288750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98248750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98208750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.98168750e-04,5.29800000e+00,3.99000000e+00,-6.70000000e-02
-1.98128750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98088750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.98048750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.98008750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97968750e-04,5.27800000e+00,3.99000000e+00,-8.70000000e-02
-1.97928750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97888750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97848750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97808750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97768750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97728750e-04,5.27800000e+00,3.99000000e+00,-6.70000000e-02
-1.97688750e-04,5.29800000e+00,4.01000000e+00,-6.70000000e-02
-1.97648750e-04,5.29800000e+00,4.01000000e+00,-8.70000000e-02
-1.97608750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
-1.97568750e-04,5.29800000e+00,3.99000000e+00,-8.70000000e-02
