Model,MSO24
Channel,CH1,,Channel,CH2,,Channel,CH3
Label,,,Label,,,Label,
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Digital Type,None,,Digital Type,None,,Digital Type,None
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08,,Sample Interval,4.00000000e-08
Record Length,250000,,Record Length,250000,,Record Length,250000
Zero Index,4999.87500000,,Zero Index,4999.87500000,,Zero Index,4999.87500000
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,

Labels,,,
TIME,CH1,CH2,CH3
-1.99995000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99955000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99915000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.99875000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99835000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99795000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99755000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99715000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99675000e-04,5.29800000e+00,1.43000000e+00,-1.07000000e-01
-1.99635000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.99595000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99555000e-04,5.31800000e+00,1.41000000e+00,-8.70000000e-02
-1.99515000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99475000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99435000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99395000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99355000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.99315000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99275000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.99235000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99195000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99155000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99115000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.99075000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.99035000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98995000e-04,5.29800000e+00,1.41000000e+00,-6.70000000e-02
-1.98955000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98915000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98875000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.98835000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.98795000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98755000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98715000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.98675000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.98635000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98595000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.98555000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.98515000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98475000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98435000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.98395000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98355000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98315000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98275000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98235000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.98195000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98155000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.98115000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.98075000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.98035000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.97995000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97955000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97915000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97875000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.97835000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97795000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97755000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97715000e-04,5.29800000e+00,1.41000000e+00,-6.70000000e-02
-1.97675000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97635000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.97595000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97555000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97515000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.97475000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97435000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97395000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.97355000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97315000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97275000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97235000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97195000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97155000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.97115000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97075000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.97035000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96995000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96955000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96915000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96875000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.96835000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96795000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.96755000e-04,5.27800000e+00,1.43000000e+00,-6.70000000e-02
-1.96715000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96675000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.96635000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.96595000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96555000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96515000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.96475000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96435000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96395000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96355000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.96315000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96275000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.96235000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.96195000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.96155000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96115000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96075000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.96035000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.95995000e-04,5.31800000e+00,1.43000000e+00,-8.70000000e-02
-1.95955000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.95915000e-04,5.29800000e+00,1.41000000e+00,-6.70000000e-02
-1.95875000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.95835000e-04,5.29800000e+00,1.41000000e+00,-8.70000000e-02
-1.95795000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.95755000e-04,5.29800000e+00,1.43000000e+00,-6.70000000e-02
-1.95715000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.95675000e-04,5.29800000e+00,1.45000000e+00,-8.70000000e-02
-1.95635000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.95595000e-04,5.29800000e+00,1.43000000e+00,-8.70000000e-02
-1.95555000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
-1.95515000e-04,5.27800000e+00,1.41000000e+00,-8.70000000e-02
-1.95475000e-04,5.27800000e+00,1.41000000e+00,-8.70000000e-02
-1.95435000e-04,5.27800000e+00,1.43000000e+00,-8.70000000e-02
