Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,50000
Zero Index,24999.50000000
Vertical Units,V

Labels,
TIME,CH1
-9.93460000e-06,1.03020000e-02
-9.93420000e-06,1.01300000e-02
-9.93380000e-06,1.01300000e-02
-9.93340000e-06,9.95800000e-03
-9.93300000e-06,9.95800000e-03
-9.93260000e-06,9.95800000e-03
-9.93220000e-06,9.95800000e-03
-9.93180000e-06,1.01300000e-02
-9.93140000e-06,1.01300000e-02
-9.93100000e-06,1.03020000e-02
-9.93060000e-06,1.03020000e-02
-9.93020000e-06,1.03020000e-02
-9.92980000e-06,1.03020000e-02
-9.92940000e-06,1.04740000e-02
-9.92900000e-06,1.04740000e-02
-9.92860000e-06,1.04740000e-02
-9.92820000e-06,1.04740000e-02
-9.92780000e-06,1.04740000e-02
-9.92740000e-06,1.03020000e-02
-9.92700000e-06,1.03020000e-02
-9.92660000e-06,1.03020000e-02
-9.92620000e-06,1.03020000e-02
-9.92580000e-06,1.01300000e-02
-9.92540000e-06,1.01300000e-02
-9.92500000e-06,9.95800000e-03
-9.92460000e-06,1.01300000e-02
-9.92420000e-06,1.01300000e-02
-9.92380000e-06,1.03020000e-02
-9.92340000e-06,1.03020000e-02
-9.92300000e-06,1.04740000e-02
-9.92260000e-06,1.04740000e-02
-9.92220000e-06,1.04740000e-02
-9.92180000e-06,1.03020000e-02
-9.92140000e-06,1.03020000e-02
-9.92100000e-06,1.04740000e-02
-9.92060000e-06,1.04740000e-02
-9.92020000e-06,1.04740000e-02
-9.91980000e-06,1.04740000e-02
-9.91940000e-06,1.04740000e-02
-9.91900000e-06,1.04740000e-02
-9.91860000e-06,1.03020000e-02
-9.91820000e-06,1.03020000e-02
-9.91780000e-06,1.04740000e-02
-9.91740000e-06,1.04740000e-02
-9.91700000e-06,1.04740000e-02
-9.91660000e-06,1.04740000e-02
-9.91620000e-06,1.04740000e-02
-9.91580000e-06,1.04740000e-02
-9.91540000e-06,1.04740000e-02
-9.91500000e-06,1.06460000e-02
-9.91460000e-06,1.06460000e-02
-9.91420000e-06,1.06460000e-02
-9.91380000e-06,1.06460000e-02
-9.91340000e-06,1.08180000e-02
-9.91300000e-06,1.08180000e-02
-9.91260000e-06,1.08180000e-02
-9.91220000e-06,1.08180000e-02
-9.91180000e-06,1.06460000e-02
-9.91140000e-06,1.04740000e-02
-9.91100000e-06,1.04740000e-02
-9.91060000e-06,1.04740000e-02
-9.91020000e-06,1.06460000e-02
-9.90980000e-06,1.08180000e-02
-9.90940000e-06,1.08180000e-02
-9.90900000e-06,1.09900000e-02
-9.90860000e-06,1.08180000e-02
-9.90820000e-06,1.08180000e-02
