Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,8.00000000e-09
Record Length,250000
Zero Index,124999.18750000
Vertical Units,V

Labels,
TIME,CH1
-9.98689500e-04,1.36000000e-01
-9.98681500e-04,1.36000000e-01
-9.98673500e-04,1.36000000e-01
-9.98665500e-04,1.36000000e-01
-9.98657500e-04,1.36000000e-01
-9.98649500e-04,1.36000000e-01
-9.98641500e-04,1.36000000e-01
-9.98633500e-04,1.36000000e-01
-9.98625500e-04,1.36000000e-01
-9.98617500e-04,1.36000000e-01
-9.98609500e-04,1.36000000e-01
-9.98601500e-04,1.36000000e-01
-9.98593500e-04,1.36000000e-01
-9.98585500e-04,1.36800000e-01
-9.98577500e-04,1.36000000e-01
-9.98569500e-04,1.36800000e-01
-9.98561500e-04,1.36000000e-01
-9.98553500e-04,1.36000000e-01
-9.98545500e-04,1.36000000e-01
-9.98537500e-04,1.36000000e-01
-9.98529500e-04,1.36800000e-01
-9.98521500e-04,1.36000000e-01
-9.98513500e-04,1.36000000e-01
-9.98505500e-04,1.36800000e-01
-9.98497500e-04,1.36800000e-01
-9.98489500e-04,1.36000000e-01
-9.98481500e-04,1.36000000e-01
-9.98473500e-04,1.36000000e-01
-9.98465500e-04,1.36000000e-01
-9.98457500e-04,1.36000000e-01
-9.98449500e-04,1.36800000e-01
-9.98441500e-04,1.36000000e-01
-9.98433500e-04,1.36000000e-01
-9.98425500e-04,1.36800000e-01
-9.98417500e-04,1.36000000e-01
-9.98409500e-04,1.36000000e-01
-9.98401500e-04,1.36000000e-01
-9.98393500e-04,1.36000000e-01
-9.98385500e-04,1.36000000e-01
-9.98377500e-04,1.36000000e-01
-9.98369500e-04,1.36800000e-01
-9.98361500e-04,1.36800000e-01
-9.98353500e-04,1.36800000e-01
-9.98345500e-04,1.36000000e-01
-9.98337500e-04,1.36000000e-01
-9.98329500e-04,1.36000000e-01
-9.98321500e-04,1.36000000e-01
-9.98313500e-04,1.36800000e-01
-9.98305500e-04,1.36000000e-01
-9.98297500e-04,1.36800000e-01
-9.98289500e-04,1.36000000e-01
-9.98281500e-04,1.36000000e-01
-9.98273500e-04,1.36000000e-01
-9.98265500e-04,1.36800000e-01
-9.98257500e-04,1.36000000e-01
-9.98249500e-04,1.36800000e-01
-9.98241500e-04,1.36000000e-01
-9.98233500e-04,1.36000000e-01
-9.98225500e-04,1.36000000e-01
-9.98217500e-04,1.36000000e-01
-9.98209500e-04,1.36800000e-01
-9.98201500e-04,1.36800000e-01
-9.98193500e-04,1.36000000e-01
-9.98185500e-04,1.36000000e-01
-9.98177500e-04,1.36000000e-01
-9.98169500e-04,1.36000000e-01
-9.98161500e-04,1.36000000e-01
-9.98153500e-04,1.36000000e-01
-9.98145500e-04,1.36000000e-01
-9.98137500e-04,1.36000000e-01
-9.98129500e-04,1.36000000e-01
-9.98121500e-04,1.36800000e-01
-9.98113500e-04,1.36000000e-01
-9.98105500e-04,1.36000000e-01
-9.98097500e-04,1.36000000e-01
-9.98089500e-04,1.36000000e-01
-9.98081500e-04,1.36000000e-01
-9.98073500e-04,1.36800000e-01
-9.98065500e-04,1.35200000e-01
-9.98057500e-04,1.36000000e-01
-9.98049500e-04,1.36000000e-01
-9.98041500e-04,1.36800000e-01
-9.98033500e-04,1.36800000e-01
-9.98025500e-04,1.36800000e-01
-9.98017500e-04,1.36000000e-01
-9.98009500e-04,1.36000000e-01
-9.98001500e-04,1.36000000e-01
-9.97993500e-04,1.36800000e-01
-9.97985500e-04,1.36800000e-01
-9.97977500e-04,1.36800000e-01
-9.97969500e-04,1.36000000e-01
-9.97961500e-04,1.36000000e-01
-9.97953500e-04,1.36800000e-01
-9.97945500e-04,1.36800000e-01
-9.97937500e-04,1.36800000e-01
-9.97929500e-04,1.36800000e-01
-9.97921500e-04,1.36800000e-01
-9.97913500e-04,1.36800000e-01
-9.97905500e-04,1.36000000e-01
-9.97897500e-04,1.36000000e-01
-9.97889500e-04,1.36000000e-01
-9.97881500e-04,1.36000000e-01
-9.97873500e-04,1.36800000e-01
-9.97865500e-04,1.36000000e-01
-9.97857500e-04,1.36000000e-01
-9.97849500e-04,1.36800000e-01
-9.97841500e-04,1.36000000e-01
-9.97833500e-04,1.36000000e-01
-9.97825500e-04,1.36800000e-01
-9.97817500e-04,1.36000000e-01
-9.97809500e-04,1.36800000e-01
-9.97801500e-04,1.35200000e-01
-9.97793500e-04,1.36800000e-01
-9.97785500e-04,1.36800000e-01
-9.97777500e-04,1.36000000e-01
-9.97769500e-04,1.36000000e-01
-9.97761500e-04,1.36000000e-01
-9.97753500e-04,1.35200000e-01
-9.97745500e-04,1.36800000e-01
-9.97737500e-04,1.36800000e-01
-9.97729500e-04,1.36000000e-01
-9.97721500e-04,1.36000000e-01
-9.97713500e-04,1.36800000e-01
-9.97705500e-04,1.36000000e-01
-9.97697500e-04,1.36000000e-01
-9.97689500e-04,1.36800000e-01
-9.97681500e-04,1.36800000e-01
-9.97673500e-04,1.36000000e-01
-9.97665500e-04,1.36000000e-01
-9.97657500e-04,1.35200000e-01
-9.97649500e-04,1.36000000e-01
-9.97641500e-04,1.36000000e-01
-9.97633500e-04,1.36000000e-01
-9.97625500e-04,1.36000000e-01
-9.97617500e-04,1.36000000e-01
-9.97609500e-04,1.36000000e-01
-9.97601500e-04,1.36000000e-01
-9.97593500e-04,1.36000000e-01
-9.97585500e-04,1.36000000e-01
-9.97577500e-04,1.36000000e-01
-9.97569500e-04,1.36000000e-01
-9.97561500e-04,1.36000000e-01
-9.97553500e-04,1.36000000e-01
-9.97545500e-04,1.36000000e-01
-9.97537500e-04,1.36000000e-01
-9.97529500e-04,1.36000000e-01
-9.97521500e-04,1.36000000e-01
-9.97513500e-04,1.36800000e-01
-9.97505500e-04,1.36000000e-01
-9.97497500e-04,1.36000000e-01
-9.97489500e-04,1.36000000e-01
-9.97481500e-04,1.36000000e-01
-9.97473500e-04,1.36000000e-01
-9.97465500e-04,1.36000000e-01
-9.97457500e-04,1.36000000e-01
-9.97449500e-04,1.36000000e-01
-9.97441500e-04,1.36000000e-01
-9.97433500e-04,1.36800000e-01
-9.97425500e-04,1.36000000e-01
-9.97417500e-04,1.36000000e-01
-9.97409500e-04,1.36000000e-01
-9.97401500e-04,1.36000000e-01
-9.97393500e-04,1.36000000e-01
-9.97385500e-04,1.36000000e-01
-9.97377500e-04,1.36800000e-01
-9.97369500e-04,1.36000000e-01
-9.97361500e-04,1.36000000e-01
-9.97353500e-04,1.36800000e-01
-9.97345500e-04,1.36000000e-01
-9.97337500e-04,1.36000000e-01
-9.97329500e-04,1.36000000e-01
-9.97321500e-04,1.36000000e-01
-9.97313500e-04,1.36800000e-01
-9.97305500e-04,1.36000000e-01
-9.97297500e-04,1.36000000e-01
-9.97289500e-04,1.36800000e-01
-9.97281500e-04,1.36000000e-01
-9.97273500e-04,1.36000000e-01
-9.97265500e-04,1.36800000e-01
-9.97257500e-04,1.36000000e-01
-9.97249500e-04,1.36000000e-01
-9.97241500e-04,1.36800000e-01
-9.97233500e-04,1.36800000e-01
-9.97225500e-04,1.36000000e-01
-9.97217500e-04,1.36000000e-01
-9.97209500e-04,1.36800000e-01
-9.97201500e-04,1.36000000e-01
-9.97193500e-04,1.36000000e-01
-9.97185500e-04,1.36000000e-01
-9.97177500e-04,1.36000000e-01
-9.97169500e-04,1.36000000e-01
-9.97161500e-04,1.36000000e-01
-9.97153500e-04,1.35200000e-01
-9.97145500e-04,1.36800000e-01
-9.97137500e-04,1.36000000e-01
-9.97129500e-04,1.36000000e-01
-9.97121500e-04,1.36000000e-01
-9.97113500e-04,1.36000000e-01
-9.97105500e-04,1.36800000e-01
-9.97097500e-04,1.36000000e-01
-9.97089500e-04,1.35200000e-01
-9.97081500e-04,1.36800000e-01
-9.97073500e-04,1.36000000e-01
-9.97065500e-04,1.36000000e-01
-9.97057500e-04,1.36000000e-01
-9.97049500e-04,1.36800000e-01
-9.97041500e-04,1.35200000e-01
-9.97033500e-04,1.36000000e-01
-9.97025500e-04,1.36000000e-01
-9.97017500e-04,1.36000000e-01
-9.97009500e-04,1.36000000e-01
-9.97001500e-04,1.36000000e-01
